user040 | deposit $945 to savings | DATE OF TRANSACTION Wed Jan 22 01:47:00 2025
user036 | withdraw $1770 to checking | DATE OF TRANSACTION Tue Oct 08 22:37:00 2024
user003 | withdraw $815 to checking | DATE OF TRANSACTION Wed Dec 04 13:45:00 2024
user063 | deposit $1304 to savings | DATE OF TRANSACTION Mon Sep 23 16:18:00 2024
user020 | withdraw $2728 to savings | DATE OF TRANSACTION Tue Jan 28 12:55:00 2025
user059 | withdraw $1619 to savings | DATE OF TRANSACTION Mon Sep 30 11:40:00 2024
user004 | withdraw $1990 to savings | DATE OF TRANSACTION Thu Oct 24 16:04:00 2024
user005 | deposit $2196 to savings | DATE OF TRANSACTION Wed Oct 09 02:52:00 2024
user066 | withdraw $621 to savings | DATE OF TRANSACTION Wed Oct 09 03:30:00 2024
user058 | withdraw $405 to savings | DATE OF TRANSACTION Tue Sep 17 04:21:00 2024
user048 | deposit $2029 to savings | DATE OF TRANSACTION Wed Dec 04 16:59:00 2024
user014 | withdraw $907 to savings | DATE OF TRANSACTION Sun Dec 01 03:13:00 2024
user063 | withdraw $1949 to checking | DATE OF TRANSACTION Mon Nov 04 12:06:00 2024
user077 | deposit $2418 to checking | DATE OF TRANSACTION Tue Nov 05 00:45:00 2024
user023 | withdraw $2253 to savings | DATE OF TRANSACTION Sun Jan 05 13:57:00 2025
user073 | withdraw $923 to checking | DATE OF TRANSACTION Wed Jan 22 02:06:00 2025
user082 | withdraw $277 to savings | DATE OF TRANSACTION Sun Sep 08 13:32:00 2024
user068 | withdraw $1932 to checking | DATE OF TRANSACTION Thu Jan 09 19:27:00 2025
user064 | withdraw $548 to savings | DATE OF TRANSACTION Sun Sep 15 21:12:00 2024
user041 | deposit $2799 to checking | DATE OF TRANSACTION Fri Sep 27 05:54:00 2024
user067 | deposit $591 to savings | DATE OF TRANSACTION Fri Jan 10 15:13:00 2025
user045 | deposit $1366 to savings | DATE OF TRANSACTION Fri Nov 22 14:27:00 2024
user011 | withdraw $1642 to savings | DATE OF TRANSACTION Mon Dec 23 14:13:00 2024
user058 | withdraw $278 to checking | DATE OF TRANSACTION Thu Jan 02 00:39:00 2025
user027 | deposit $2659 to savings | DATE OF TRANSACTION Sat Oct 12 00:23:00 2024
user088 | deposit $84 to savings | DATE OF TRANSACTION Fri Oct 18 13:50:00 2024
user006 | withdraw $2257 to savings | DATE OF TRANSACTION Thu Oct 17 09:04:00 2024
user034 | deposit $1689 to savings | DATE OF TRANSACTION Fri Sep 20 06:51:00 2024
user057 | withdraw $951 to checking | DATE OF TRANSACTION Sat Nov 09 11:22:00 2024
user096 | withdraw $683 to checking | DATE OF TRANSACTION Mon Jan 20 14:49:00 2025
user039 | withdraw $2463 to savings | DATE OF TRANSACTION Sat Oct 05 14:53:00 2024
user061 | deposit $2567 to checking | DATE OF TRANSACTION Fri Nov 08 00:12:00 2024
user021 | withdraw $132 to checking | DATE OF TRANSACTION Sun Dec 01 05:23:00 2024
user069 | withdraw $2665 to savings | DATE OF TRANSACTION Tue Oct 29 11:34:00 2024
user058 | deposit $1334 to savings | DATE OF TRANSACTION Tue Sep 24 04:53:00 2024
user049 | deposit $993 to savings | DATE OF TRANSACTION Mon Sep 02 14:40:00 2024
user077 | deposit $262 to checking | DATE OF TRANSACTION Fri Oct 25 01:03:00 2024
user060 | deposit $2185 to checking | DATE OF TRANSACTION Wed Nov 13 13:33:00 2024
user069 | deposit $2858 to savings | DATE OF TRANSACTION Wed Jan 15 22:57:00 2025
user078 | withdraw $194 to checking | DATE OF TRANSACTION Wed Nov 20 04:24:00 2024
user063 | deposit $248 to savings | DATE OF TRANSACTION Wed Sep 04 16:47:00 2024
user026 | deposit $2856 to checking | DATE OF TRANSACTION Sun Oct 27 13:39:00 2024
user068 | deposit $1250 to checking | DATE OF TRANSACTION Fri Oct 25 01:27:00 2024
user047 | withdraw $1628 to savings | DATE OF TRANSACTION Fri Dec 27 18:13:00 2024
